,norte,este,Recvd Wt.,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Ni,P,S,Sc,Sr,V,Zn,Centroide
0,4627001.0,549050.0,2.78,3.71,0.09,13.0,26.0,6040.0,10.2,0.07,1.65,1700.0,8.0,220.0,0.03,12.0,11.0,155.0,139.0,0
1,4627049.0,549003.0,3.32,5.13,0.02,32.0,77.0,2180.0,11.35,0.01,3.42,3650.0,20.0,160.0,0.01,28.0,5.0,240.0,280.0,1
2,4627073.0,548963.0,2.76,1.39,0.61,7.0,21.0,7480.0,6.62,0.12,0.33,1475.0,2.0,230.0,0.07,8.0,67.0,105.0,44.0,2
3,4627050.0,548964.0,3.2,1.74,0.14,2.0,60.0,1030.0,8.41,0.14,0.4,148.0,5.0,70.0,0.07,11.0,16.0,165.0,48.0,0
4,4627090.0,548870.0,3.42,0.23,2.41,4.0,6.0,4530.0,3.62,0.06,1.16,286.0,2.0,360.0,0.04,12.0,46.0,26.0,58.0,2
5,4626908.0,548813.0,3.24,0.45,0.02,5.0,3.0,2210.0,4.79,0.15,0.02,119.0,1.0,210.0,0.04,3.0,9.0,22.0,47.0,2
6,4627065.0,549167.0,4.34,4.18,1.62,41.0,32.0,336.0,7.17,0.08,3.63,5490.0,16.0,270.0,0.08,27.0,36.0,270.0,1300.0,1
7,4626768.0,549097.0,3.76,2.57,0.1,18.0,5.0,81.0,7.43,0.19,2.15,1385.0,1.0,480.0,3.68,8.0,8.0,92.0,114.0,2
8,4626946.0,549168.0,3.32,4.44,0.87,38.0,91.0,2290.0,8.83,0.14,4.11,4070.0,25.0,200.0,1.9,23.0,12.0,175.0,276.0,1
9,4627057.0,549233.0,5.08,4.23,1.67,34.0,37.0,145.0,5.78,0.12,3.2,2930.0,15.0,260.0,0.96,25.0,39.0,207.0,495.0,1
10,4626985.0,549224.0,4.64,3.79,0.06,23.0,51.0,90.0,7.21,0.14,3.2,2270.0,18.0,210.0,1.06,14.0,3.0,188.0,172.0,0
11,4626851.0,548323.0,3.02,0.44,1.66,16.0,2.0,755.0,4.16,0.25,0.83,242.0,1.0,60.0,4.08,2.0,32.0,8.0,65.0,2
12,4626774.0,548319.0,3.3,0.31,1.67,7.0,2.0,10000.0,5.5,0.13,0.82,252.0,1.0,20.0,2.36,2.0,35.0,17.0,42.0,2
13,4626715.0,548330.0,3.74,0.43,0.01,8.0,3.0,3450.0,6.06,0.11,0.03,542.0,1.0,550.0,0.04,2.0,43.0,38.0,94.0,2
14,4626895.0,548462.0,3.16,0.71,0.22,8.0,7.0,9490.0,11.55,0.09,0.02,211.0,1.0,280.0,0.08,7.0,7.0,140.0,63.0,0
15,4626894.0,548483.0,3.32,0.58,0.86,20.0,1.0,69.0,6.08,0.14,0.36,1410.0,1.0,570.0,0.04,6.0,19.0,63.0,183.0,2
16,4626873.0,548555.0,3.5,0.66,6.47,33.0,8.0,36.0,8.33,0.08,0.39,2850.0,12.0,430.0,0.04,27.0,29.0,213.0,230.0,0
17,4626750.0,548588.0,4.08,1.09,1.35,27.0,10.0,166.0,6.88,0.05,1.25,2650.0,5.0,230.0,0.01,23.0,16.0,199.0,172.0,0
18,4626787.0,548568.0,3.76,0.49,1.05,38.0,5.0,7470.0,8.46,0.16,0.57,1865.0,3.0,200.0,0.01,8.0,24.0,175.0,204.0,0
19,4627064.0,549093.0,4.74,3.04,2.54,38.0,103.0,133.0,5.77,0.04,3.7,3940.0,27.0,220.0,0.31,25.0,25.0,199.0,159.0,1
20,4627061.0,549205.0,4.26,1.57,1.82,15.0,10.0,331.0,3.2,0.11,1.08,2600.0,6.0,370.0,0.41,12.0,25.0,64.0,2330.0,2
21,4626991.0,549010.0,5.18,4.84,0.02,25.0,4.0,2750.0,9.54,0.15,3.1,3080.0,5.0,280.0,0.03,18.0,6.0,220.0,258.0,0
22,4627003.0,549114.0,4.72,4.12,0.08,22.0,26.0,2540.0,8.82,0.15,2.33,2870.0,16.0,290.0,0.02,9.0,11.0,135.0,208.0,0
23,4627005.0,549160.0,3.02,4.13,0.17,24.0,30.0,393.0,8.61,0.09,2.62,2630.0,15.0,220.0,0.04,14.0,25.0,199.0,233.0,0
24,4627016.0,549188.0,5.76,1.72,0.04,2.0,37.0,2030.0,14.1,0.11,0.32,191.0,2.0,190.0,0.08,7.0,5.0,159.0,27.0,0
25,4626954.0,549011.0,4.06,4.41,0.59,37.0,53.0,814.0,8.07,0.04,4.21,4910.0,26.0,230.0,0.3,26.0,42.0,265.0,1915.0,1
26,4626957.0,549051.0,2.5,4.83,0.31,30.0,38.0,1115.0,9.57,0.02,3.75,4620.0,20.0,160.0,0.01,29.0,23.0,310.0,338.0,1
27,4626946.0,549119.0,2.6,4.08,0.33,33.0,35.0,542.0,7.44,0.04,3.44,3250.0,22.0,160.0,0.01,28.0,17.0,262.0,290.0,1
28,4626950.0,549201.0,4.24,0.91,0.03,10.0,13.0,1045.0,7.08,0.1,0.5,343.0,3.0,40.0,2.66,2.0,3.0,71.0,56.0,2
29,4626903.0,549111.0,1.9,2.51,0.11,5.0,45.0,171.0,7.5,0.2,1.99,1140.0,6.0,240.0,0.58,20.0,14.0,261.0,154.0,0
30,4626906.0,549154.0,2.76,3.36,0.12,22.0,82.0,396.0,6.2,0.15,2.46,1875.0,17.0,200.0,0.07,20.0,23.0,175.0,216.0,0
31,4626837.0,549148.0,2.7,1.38,0.07,2.0,11.0,201.0,5.55,0.13,0.7,349.0,1.0,520.0,0.28,9.0,26.0,156.0,73.0,2
32,4626892.0,548508.0,3.24,0.84,1.93,30.0,20.0,315.0,10.2,0.13,0.89,3150.0,11.0,100.0,0.34,11.0,14.0,143.0,208.0,0
33,4626750.0,548561.0,2.92,1.39,2.41,35.0,10.0,613.0,11.0,0.07,1.13,4240.0,9.0,460.0,0.03,22.0,26.0,247.0,356.0,0
34,4627100.0,548866.0,3.0,0.65,1.41,6.0,1.0,616.0,3.85,0.16,0.72,308.0,1.0,50.0,0.01,8.0,42.0,66.0,116.0,2
35,4627090.0,549009.0,3.36,4.93,0.45,41.0,75.0,1240.0,12.55,0.09,2.91,3880.0,17.0,180.0,0.02,29.0,23.0,263.0,631.0,1
36,4626843.0,549020.0,3.06,1.15,0.12,1.0,15.0,129.0,8.05,0.15,0.32,100.0,1.0,400.0,0.07,9.0,18.0,219.0,32.0,2
37,4626901.0,549054.0,2.6,1.7,0.12,3.0,57.0,99.0,6.0,0.11,0.68,269.0,4.0,200.0,0.02,22.0,12.0,255.0,92.0,0
38,4626896.0,549004.0,3.1,3.89,0.51,38.0,40.0,688.0,7.2,0.01,3.36,4170.0,12.0,260.0,0.01,26.0,26.0,234.0,1235.0,1
39,4626963.0,548960.0,5.0,5.23,0.07,45.0,78.0,2120.0,12.3,0.05,3.29,3740.0,29.0,170.0,0.03,21.0,10.0,201.0,245.0,1
40,4626803.0,549047.0,2.74,2.2,0.09,2.0,4.0,63.0,5.35,0.2,1.08,436.0,1.0,510.0,0.27,14.0,57.0,141.0,55.0,2
41,4626799.0,549103.0,2.9,2.99,0.1,2.0,3.0,115.0,6.88,0.17,1.59,456.0,1.0,560.0,0.2,13.0,22.0,146.0,69.0,2
42,4626695.0,548649.0,4.0,3.7,0.86,27.0,5.0,246.0,7.08,0.02,2.83,3850.0,5.0,450.0,0.01,24.0,46.0,232.0,830.0,1
43,4626735.0,548506.0,2.72,2.38,0.29,12.0,7.0,99.0,5.25,0.16,1.36,1450.0,4.0,240.0,0.07,12.0,23.0,120.0,93.0,2
44,4626709.0,548504.0,3.44,2.27,0.34,3.0,2.0,385.0,4.61,0.11,1.15,726.0,4.0,500.0,0.06,12.0,15.0,80.0,94.0,2
45,4626701.0,548547.0,4.08,4.67,0.87,37.0,95.0,133.0,6.18,0.01,5.28,3190.0,51.0,210.0,0.01,27.0,38.0,231.0,407.0,1
46,4626861.0,548363.0,5.4,0.5,0.18,6.0,1.0,104.0,3.93,0.18,2.12,1115.0,1.0,500.0,0.88,3.0,6.0,8.0,230.0,2
47,4626802.0,548370.0,5.36,0.56,0.03,5.0,2.0,611.0,3.34,0.23,0.09,320.0,1.0,450.0,0.14,2.0,5.0,7.0,161.0,2
48,4626699.0,548353.0,2.72,0.48,0.08,5.0,1.0,579.0,5.32,0.15,0.02,83.0,1.0,520.0,0.05,2.0,5.0,7.0,212.0,2
49,4626707.0,548394.0,3.42,1.47,0.02,9.0,8.0,31.0,3.35,0.12,1.43,549.0,3.0,260.0,1.38,7.0,6.0,100.0,66.0,2
50,4626713.0,548451.0,3.82,2.59,0.28,10.0,47.0,253.0,7.13,0.15,1.44,1060.0,10.0,210.0,0.04,19.0,44.0,230.0,152.0,0
51,4626656.0,548361.0,2.82,0.4,0.03,2.0,1.0,408.0,3.41,0.16,0.02,55.0,1.0,310.0,0.02,2.0,3.0,11.0,70.0,2
52,4626649.0,548403.0,4.58,0.55,0.03,1.0,2.0,379.0,4.45,0.21,0.03,22.0,1.0,420.0,0.09,3.0,10.0,18.0,20.0,2
53,4626658.0,548455.0,3.82,4.16,0.06,7.0,152.0,111.0,6.25,0.04,4.57,294.0,39.0,160.0,0.05,29.0,5.0,270.0,52.0,1
54,4626656.0,548504.0,3.66,3.86,0.06,11.0,105.0,264.0,9.05,0.12,3.12,1310.0,23.0,180.0,0.76,24.0,11.0,257.0,125.0,1
55,4626694.0,548603.0,3.1,4.89,3.21,34.0,80.0,91.0,6.28,0.02,4.91,5980.0,41.0,250.0,0.01,27.0,51.0,250.0,2490.0,1
56,4626641.0,548562.0,2.62,3.68,0.67,21.0,11.0,253.0,6.65,0.04,2.47,1870.0,8.0,510.0,0.01,19.0,26.0,191.0,134.0,0
57,4626641.0,548607.0,3.36,3.92,0.49,19.0,10.0,100.0,7.11,0.09,2.67,1940.0,9.0,460.0,0.01,16.0,28.0,187.0,172.0,0
58,4626658.0,548668.0,4.04,4.1,2.4,34.0,55.0,185.0,5.64,0.02,4.09,4360.0,22.0,200.0,0.01,26.0,38.0,249.0,887.0,1
59,4626641.0,548711.0,2.44,3.92,1.94,24.0,54.0,724.0,6.96,0.04,2.83,3270.0,11.0,200.0,0.01,23.0,27.0,221.0,245.0,1
60,4626659.0,548752.0,4.16,3.55,0.36,29.0,58.0,981.0,7.32,0.06,2.88,2600.0,14.0,170.0,0.02,25.0,17.0,220.0,205.0,1
61,4626706.0,548740.0,3.58,5.21,0.67,31.0,61.0,317.0,10.25,0.06,3.98,3420.0,13.0,220.0,0.01,23.0,6.0,243.0,300.0,1
62,4626715.0,548252.0,4.08,0.32,0.12,1.0,2.0,524.0,3.16,0.36,0.03,26.0,1.0,50.0,0.54,1.0,34.0,8.0,3.0,2
63,4626653.0,548248.0,3.06,0.76,4.36,20.0,5.0,234.0,7.94,0.08,1.19,2740.0,3.0,500.0,0.14,19.0,26.0,160.0,233.0,0
64,4626754.0,548314.0,4.14,0.53,2.06,6.0,1.0,9840.0,3.78,0.22,0.68,679.0,1.0,430.0,0.02,3.0,30.0,30.0,256.0,2
65,4626748.0,548366.0,3.46,0.45,0.03,4.0,1.0,913.0,2.78,0.23,0.12,211.0,1.0,510.0,0.34,2.0,5.0,5.0,64.0,2
66,4626753.0,548393.0,4.54,1.84,0.5,24.0,3.0,1515.0,8.62,0.04,2.17,2350.0,2.0,590.0,1.77,15.0,25.0,102.0,213.0,0
67,4626696.0,548320.0,2.62,0.33,0.05,1.0,5.0,673.0,5.27,0.12,0.02,63.0,1.0,570.0,0.06,2.0,10.0,11.0,96.0,2
68,4627073.0,548900.0,3.82,3.46,0.6,36.0,79.0,10000.0,7.97,0.1,3.22,1480.0,32.0,120.0,0.04,30.0,15.0,224.0,200.0,1
69,4626665.0,548306.0,4.26,0.42,0.04,4.0,1.0,155.0,4.69,0.19,0.03,97.0,1.0,530.0,0.17,2.0,14.0,7.0,73.0,2
70,4626755.0,549008.0,3.18,1.28,0.24,9.0,2.0,8.0,4.69,0.13,1.15,412.0,2.0,520.0,3.45,9.0,3.0,80.0,47.0,2
71,4626750.0,549063.0,4.66,1.45,0.02,7.0,3.0,112.0,4.23,0.18,0.95,356.0,1.0,400.0,1.31,7.0,6.0,76.0,35.0,2
72,4626751.0,549094.0,4.46,1.78,0.1,7.0,2.0,49.0,3.8,0.12,1.08,1005.0,2.0,590.0,0.42,6.0,6.0,39.0,88.0,2
73,4626758.0,549165.0,3.82,0.43,0.04,1.0,1.0,35.0,2.28,0.24,0.03,52.0,1.0,560.0,0.19,3.0,6.0,4.0,42.0,2
74,4626765.0,548957.0,3.92,6.26,1.7,39.0,66.0,12.0,11.4,0.04,5.43,3950.0,20.0,210.0,0.02,36.0,17.0,254.0,357.0,1
75,4626800.0,548852.0,3.62,0.38,0.04,1.0,4.0,5240.0,2.92,0.18,0.02,55.0,1.0,560.0,0.04,1.0,8.0,9.0,27.0,2
76,4626761.0,548842.0,4.5,4.76,1.69,38.0,34.0,241.0,7.19,0.07,5.16,5170.0,14.0,250.0,0.02,33.0,16.0,245.0,1060.0,1
77,4626815.0,548942.0,4.78,3.37,1.53,41.0,70.0,119.0,6.32,0.03,3.59,1925.0,28.0,170.0,0.02,27.0,21.0,217.0,208.0,1
78,4626837.0,548969.0,3.8,3.69,0.09,30.0,61.0,1805.0,7.73,0.05,2.92,2590.0,13.0,130.0,0.05,19.0,4.0,168.0,210.0,1
79,4626956.0,548842.0,4.24,0.45,0.08,3.0,2.0,1875.0,2.42,0.14,0.05,104.0,1.0,580.0,0.08,4.0,12.0,11.0,76.0,2
80,4626966.0,548891.0,3.36,0.98,0.17,3.0,17.0,376.0,8.85,0.22,0.12,79.0,4.0,330.0,0.07,14.0,16.0,237.0,59.0,0
81,4626808.0,549001.0,3.26,2.63,0.66,20.0,3.0,97.0,5.89,0.05,2.06,2250.0,4.0,560.0,1.7,17.0,14.0,180.0,184.0,0
